building_code,id,name,category,description,system,location,area_sqft,capacity_theater,capacity_banquet,capacity_classroom,capacity_reception,capacity_boardroom,capacity_circle,capacity_u_shape,capacity_hollow_square,capacity_max_standalone,max_capacity,type,rate_rso,rate_department,rate_external,rso_free,managed_by,equipment,booking_method,contact,notes,tags,cssa_recommended
PRICE,ballroom-east,Ballroom East,University Centers — Ballroom & Theater,Price Center 最大室内活动空间之一。高挑天花板，专业灯光音响系统，适合大型晚会、典礼、宴会。可分隔使用。CSSA 春晚传统首选场地。,university-centers,"Price Center East, L2",5971,425,232,200,600,,,,,,600,Ballroom / 多功能厅,免费场租 | (Setup $125 另计),Setup $125 / Usage $188 | Evening Prime $850 | Afternoon $375 / Morning $425,"$1,700 (Evening) | $850 (Afternoon)",True,University Centers,双投影+音响 | 灯光系统 | 舞台可搭建,T-RES,reservations@ucsd.edu | (858) 534-2230,CSSA 春晚/开学大典首选,春晚 | 新生见面会,True
PRICE,ballroom-west-a,Ballroom West - A,University Centers — Ballroom & Theater,Price Center West 二楼中型 ballroom，可与 West B 打通合并为 West AB。适合中型活动、宣讲会、workshop。,university-centers,"Price Center West, L2",4050,250,176,100,250,,,,,,250,Ballroom,免费场租 | (Setup $100),Setup $100 / Usage $75 | Evening $400 | Afternoon $150 / Morning $175,$800 (Evening) | $400 (Afternoon),True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,可与 West B 合并为 AB,春晚 | 新生见面会,True
PRICE,ballroom-west-b,Ballroom West - B,University Centers — Ballroom & Theater,Price Center West 二楼大型 ballroom，面积比 East 更大。可与 West A 合并为超大空间。适合大型活动。,university-centers,"Price Center West, L2",6750,600,352,200,750,,,,,,750,Ballroom,免费场租 | (Setup $150),Setup $150 / Usage $138 | Evening $750 | Afternoon $275 / Morning $325,"$1,500 (Evening) | $750 (Afternoon)",True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,可与 West A 合并,春晚 | 新生见面会,True
PRICE,ballroom-west-ab,Ballroom West - AB (合并),University Centers — Ballroom & Theater,West A + B 打通后的超大空间，UCSD 最大室内活动场地之一。适合千人级活动、大型展会、毕业典礼级别活动。,university-centers,"Price Center West, L2",10800,850,504,300,1250,,,,,,1250,超大 Ballroom,免费场租 | (Setup $250),"Setup $250 / Usage $213 | Evening $1,150 | Afternoon $425 / Morning $500","$2,300 (Evening) | $1,150 (Afternoon)",True,University Centers,双投影+全套音响+灯光,T-RES,reservations@ucsd.edu,UCSD 最大室内空间之一,春晚 | 新生见面会,True
PRICE,theater,Theater,University Centers — Ballroom & Theater,Price Center 内专业剧场空间，固定阶梯式座椅475座，自带 Lobby。适合演出、放映会、大型演讲。专业舞台灯光系统。,university-centers,"Price Center East, L1",4368,475,,,,,,,,,475,Theater / 剧场,免费场租 | (Setup $75),Setup $75 / Usage $150 | Evening $500 | Afternoon $300 / Morning $350,"$1,000 (Evening) | $500 (Afternoon)",True,University Centers,专业舞台灯光+音响+投影,T-RES,reservations@ucsd.edu,"Theater Lobby (2,621 sqft) 可同时预约",,False
PRICE,the-forum,The Forum,University Centers — Ballroom & Theater,Price Center 四楼开放式活动空间，配有 Terrace 户外露台。适合中型招待会、展览、workshop。挑高设计，自然采光好。,university-centers,"Price Center East, L4",2270,120,80,42,150,30,50,45,46,,150,多功能活动空间,免费场租 | (Setup $75),Setup $75 / Usage $138 | Evening $400 | Afternoon $275 / Morning $325,$800 (Evening) | $400 (Afternoon),True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,含 The Terrace 户外露台,职业宣讲会,True
PRICE,dance-studio,Dance Studio,University Centers — Ballroom & Theater,Price Center 舞蹈工作室，木质弹簧地板，镜面墙，适合舞蹈排练、体操、瑜伽类活动。,university-centers,"Price Center, L2",1290,,,,,,,,,49,49,Dance Studio,免费场租 | (Setup $75),Setup $75 / Usage $38 | Evening $113 | Afternoon $75 / Morning $150,$225 (Evening) | $113 (Afternoon),True,University Centers,镜面墙+音响,T-RES,reservations@ucsd.edu,弹簧地板,,False
PRICE,john-muir-college-room,John Muir College Room,University Centers — Price Center 会议室,"Price Center 最大会议室之一(1,000sqft)，可容纳70人 Theater。配AV设备，适合中型会议/讲座。",university-centers,"Price Center West, L2",1000,70,48,27,70,22,38,24,36,,70,Meeting Room,免费,Setup $50 / Usage $68 | Evening $68 / Morning $60,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,PC 最大会议室,,False
PRICE,bear-room,Bear Room,University Centers — Price Center 会议室,700sqft 中型会议室，标准AV设备。适合 30-60 人活动。,university-centers,"Price Center West, L2",700,60,40,21,60,22,30,,,,60,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,部门例会,True
PRICE,red-shoe-room,Red Shoe Room,University Centers — Price Center 会议室,700sqft 中型会议室，与 Bear Room 同规格。适合部门例会、workshop。,university-centers,"Price Center West, L2",700,60,40,21,60,22,30,,,,60,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,部门例会,True
PRICE,roosevelt-college-room,Roosevelt College Room,University Centers — Price Center 会议室,734sqft 中型会议室。,university-centers,"Price Center West, L2",734,60,40,21,60,22,30,,,,60,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,marshall-college-room,Marshall College Room,University Centers — Price Center 会议室,747sqft 中型会议室。,university-centers,"Price Center West, L2",747,60,40,21,60,22,30,,,,60,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,warren-college-room,Warren College Room,University Centers — Price Center 会议室,644sqft 会议室，适合中小型会议。,university-centers,"Price Center West, L3",644,40,40,21,50,22,30,,,,50,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,green-table-room,Green Table Room,University Centers — Price Center 会议室,670sqft 会议室。,university-centers,"Price Center West, L2",670,40,32,21,40,22,30,,,,40,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,governance-chambers,Governance Chambers,University Centers — Price Center 会议室,700sqft 正式会议厅，两间相连，适合理事会/委员会类正式会议。,university-centers,"Price Center East, L4",700,40,,15,49,22,26,,22,,49,Meeting Room / 议事厅,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,两间相连；含U-shape 20,,False
PRICE,snake-path-room,Snake Path Room,University Centers — Price Center 会议室,700sqft 会议室。,university-centers,"Price Center West, L2",700,,,,,,,,,60,60,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,student-leadership-chambers,Student Leadership Chambers,University Centers — Price Center 会议室,会议室，适合学生组织理事会。,university-centers,"Price Center, L4",,,,,,,,,,40,40,Meeting Room,免费,$50 setup / $68,$135,True,University Centers,投影+音响,T-RES,reservations@ucsd.edu,,,False
PRICE,sixth-college-room,Sixth College Room,University Centers — Price Center 会议室,322sqft 小型会议室，仅 Boardroom 配置。,university-centers,"Price Center East, L3",322,,,,,12,,,,,12,小型 Meeting Room,免费,$30 setup / $50,$100,True,University Centers,基本AV,T-RES,reservations@ucsd.edu,仅 Boardroom,,False
